Batch Index;Dice Coefficient;IOU Score;Precision;Accuracy
0;0.9167954325675964;0.8612244897959184;0.9867768287658691;0.9909464716911316
1;0.9315270185470581;0.8711484593837535;0.9563606381416321;0.9871826171875
2;0.8413501381874084;0.728380024360536;0.9786849021911621;0.991455078125
3;0.7962253093719482;0.6608287056813328;0.7354211211204529;0.9734293818473816
4;0.8813925385475159;0.7926634768740032;0.8610101342201233;0.9896036982536316
5;0.8221074938774109;0.6987509184423218;0.7753783464431763;0.9733480215072632
6;0.8378276824951172;0.7215411558669002;0.8620160222053528;0.9911092519760132
7;0.8288856744766235;0.7087342709104367;0.7499285340309143;0.9713338613510132
8;0.8561205863952637;0.7497839239412273;0.7759615182876587;0.9734090566635132
9;0.7653741240501404;0.6217792902284881;0.6362312436103821;0.9689127802848816
10;0.815263032913208;0.686908077994429;0.7108931541442871;0.974853515625
11;0.7606679797172546;0.6176092544987146;0.6432800889015198;0.9752604365348816
12;0.7972111105918884;0.6638396299151889;0.7181302905082703;0.9796142578125
13;0.8754255771636963;0.7829596412556054;0.8491283059120178;0.98394775390625
14;0.8819798231124878;0.7866666666666666;0.8433350920677185;0.9845988154411316
15;0.8734269142150879;0.7789783889980354;0.8776735663414001;0.9866943359375
16;0.8769575953483582;0.7815950920245399;0.8787680864334106;0.9871419668197632
Average;0.8446198842104744;0.7360818509904765;0.8140575219603146;0.9813436059390798
