Batch Index;Dice Coefficient;IOU Score;Precision;Accuracy;Cross-Entropy Loss
0;0.9253078103065491;0.8682795698924731;0.9758872985839844;0.98931884765625
1;0.9324250817298889;0.8726772195457674;0.9397152662277222;0.98419189453125
2;0.8535289764404297;0.747016706443914;0.9573562741279602;0.98956298828125
3;0.8053922057151794;0.6738013698630136;0.7399535179138184;0.97161865234375
4;0.8951894044876099;0.8194662480376766;0.8512171506881714;0.9885457754135132
5;0.8287693858146667;0.7088888888888889;0.783074140548706;0.9713134765625
6;0.8732131719589233;0.7821428571428571;0.8801548480987549;0.99029541015625
7;0.8387112021446228;0.7227871939736347;0.765002965927124;0.96954345703125
8;0.8616320490837097;0.756140350877193;0.7876848578453064;0.9720052480697632
9;0.7695479989051819;0.6275184275184276;0.6418331265449524;0.9674072265625
10;0.8221502900123596;0.6993725042783799;0.7245075106620789;0.973388671875
11;0.7649238705635071;0.6196999347684279;0.6539291739463806;0.97406005859375
12;0.7990042567253113;0.6630094043887147;0.7298482656478882;0.9786173701286316
13;0.8723235726356506;0.7795992714025501;0.8598304390907288;0.9829915761947632
14;0.8901293277740479;0.8004158004158004;0.8560128211975098;0.9830526113510132
15;0.8724180459976196;0.7765748031496063;0.8802245259284973;0.98486328125
16;0.8754788637161255;0.7765432098765432;0.8874833583831787;0.9852702021598816
Average;0.8517732655300814;0.7467019859096393;0.8184538553742802;0.9797674557741951
